Ticker
ACB
ACHV
ACN
ADAP
ADBE
AEHR
AEO
AEVA
AGX
ALTS
ARCT
AREC
ASAN
ATYR
AVAV
AVGX
AVXL
BAM
BE
BITF
BLNK
BNC
BORR
BRBR
BRKR
BRLT
BRZE
BTI
BYND
CAG
CAPR
CBRL
CGC
CHWY
CIEN
CMBT
CMPS
CNC
CODI
COTY
CPB
CPRT
CRDO
CRM
CRON
CTXR
CYTK
DNTH
DNUT
DOCU
DOW
EETH
EIX
EMN
EQ
FDX
FETH
FOLD
FRPT
FTEK
FTHM
GDRX
GGAL
GGLL
GIS
GPRO
GTLB
HIVE
HOLX
HPK
ICHR
IDR
IFRX
INO
IONS
IOT
IOVA
ITUB
IVVD
JMIA
KDP
KHC
KNX
KODK
KPTI
KR
KVUE
LASE
LEN
LESL
LQDA
LRMR
LULU
LWLG
LYB
M
MANU
MAPS
MBOT
MBX
MEIP
METC
MIAX
MJ
MLTX
MLYS
MOH
MOMO
MSOS
MSOX
MTA
MYPS
NEO
NEON
NFE
NIO
NNDM
NRGV
NUGT
OLN
OMER
OPAD
OPEN
ORCL
OTLK
PACK
PATH
PCG
PD
PL
PLYM
PM
PSNY
PZZA
QVCGA
RBRK
REMX
REPL
RH
RLMD
RMTI
RNA
ROIV
SAIL
SATS
SGMO
SHOT
SIG
SMC
SNDL
SNDX
SNPS
SNY
SOGP
SOLT
SOLZ
SQM
SQNS
SRPT
STZ
SWBI
TLRY
TROX
TSEM
TTMI
UAMY
UEC
UP
UTHR
UUUU
UWMC
VFF
VGZ
WEN
WOLF
WPM
WY
XFOR
XNET
ZEPP
ZS
